SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1415.05,1454.30,1411.35,1433.05,1440.00,1432.30,502,6611,9462024.00,,INE117A01022,22-Apr-19,,
500003,AEGIS LOGIS ,A ,Q,207.00,210.00,203.60,206.15,204.75,208.35,186,7247,1506823.00,,INE208C01025,22-Apr-19,,
500008,AMAR RAJA BA,A ,Q,688.00,690.75,675.20,678.50,678.50,693.75,681,21271,14464014.00,,INE885A01032,22-Apr-19,,
500009,A.SARABHAI  ,X ,Q,14.60,15.01,14.06,14.28,14.28,14.59,97,29778,432626.00,,INE432A01017,22-Apr-19,,
500010,HDFC        ,A ,Q,2006.00,2010.00,1950.05,1955.05,1955.05,2003.90,2731,75801,149498671.00,,INE001A01036,22-Apr-19,,
500012,ANDHRA PETRO,X ,Q,56.00,56.00,55.10,55.10,55.10,56.05,110,23345,1291247.00,,INE714B01016,22-Apr-19,,
500013,ANSAL INFRAS,B ,Q,11.15,11.15,10.86,11.01,11.04,11.06,27,11252,123936.00,,INE436A01026,22-Apr-19,,
500014,APPLE FINANC,XT,Q,1.54,1.54,1.54,1.54,1.54,1.54,2,190,292.00,,INE096A01010,22-Apr-19,,
500020,BOM DYEING  ,A ,Q,130.95,130.95,123.65,124.35,124.35,129.95,2393,207135,26078644.00,,INE032A01023,22-Apr-19,,
500023,ASIANHOTNR  ,B ,Q,139.90,139.90,132.50,132.50,132.50,132.00,6,42,5654.00,,INE363A01022,22-Apr-19,,
500024,ASSAMCO     ,T ,Q,2.14,2.19,2.03,2.10,2.19,2.09,41,23478,48451.00,,INE442A01024,22-Apr-19,,
500027,ATUL LTD.   ,A ,Q,3506.30,3520.60,3501.00,3507.80,3502.00,3545.45,98,379,1329099.00,,INE100A01010,22-Apr-19,,
500028,ATV PROJECTS,XT,Q,5.45,5.93,5.45,5.46,5.48,5.65,9,1113,6267.00,,INE447A01015,22-Apr-19,,
500029,AUTOLITE(I) ,B ,Q,38.40,38.40,38.40,38.40,38.40,37.45,1,50,1920.00,,INE448A01013,22-Apr-19,,
500031,BAJAJ ELECT.,A ,Q,563.00,576.00,553.55,564.40,562.50,566.80,874,22452,12690134.00,,INE193E01025,22-Apr-19,,
500032,BAJAJHIND   ,B ,Q,8.65,8.95,8.57,8.61,8.61,8.65,230,161078,1409209.00,,INE306A01021,22-Apr-19,,
500033,FORCE MOTR  ,A ,Q,1753.95,1778.00,1735.00,1765.20,1765.20,1761.85,1082,12620,22194538.00,,INE451A01017,22-Apr-19,,
500034,BAJFINANCE  ,A ,Q,3022.95,3022.95,2974.95,2991.45,2983.00,3013.80,1934,30771,91992821.00,,INE296A01024,22-Apr-19,,
500038,BALRAM.CHINI,A ,Q,145.00,145.70,142.40,143.35,143.00,145.75,1223,116881,16795048.00,,INE119A01028,22-Apr-19,,
500039,BANCO PROD. ,B ,Q,155.95,155.95,152.90,153.15,153.80,155.40,34,1796,275616.00,,INE213C01025,22-Apr-19,,
500040,CENTURY TEXT,A ,Q,937.00,937.00,898.25,903.30,901.90,940.15,937,28016,25683194.00,,INE055A01016,22-Apr-19,,
500041,BANNARI AMAN,B ,Q,1515.00,1515.00,1451.00,1451.00,1451.00,1515.00,8,101,149814.00,,INE459A01010,22-Apr-19,,
500042,BASF INDIA  ,A ,Q,1368.40,1400.00,1362.65,1383.10,1400.00,1378.00,259,2036,2812974.00,,INE373A01013,22-Apr-19,,
500043,BATA INDIA  ,A ,Q,1416.20,1422.00,1408.30,1413.00,1409.15,1422.15,489,11901,16835187.00,,INE176A01028,22-Apr-19,,
