Symbol, Name, Max Price, Max Price on, Least Price, Least Price on, Price on P-6M before, Date on P-6M before, Latest Close Price, P/E Ratio,  % Up from Low,  % Down from Max,  % Change from last P-6M
543417, RATEGAIN    , 514.45, 2022-01-18, 279.45, 2022-03-07, 355.8, 2022-02-18, 319.45, 0.0, 14.31, 37.9, -10.22
540222, LAURUSLABS  , 611.0, 2022-04-21, 463.8, 2022-01-27, 502.0, 2021-12-06, 560.0, 36.48, 20.74, 8.35, 11.55
532440, MPS LTD     , 723.8, 2022-01-10, 516.6, 2022-05-12, 701.35, 2021-12-06, 570.1, 13.2, 10.36, 21.24, -18.71
500247, KOTAK MAH.BK, 2035.0, 2021-11-25, 1711.5, 2022-04-19, 1886.3, 2021-12-06, 1840.95, 30.31, 7.56, 9.54, -2.4
540900, NEWGEN      , 651.35, 2022-01-10, 390.0, 2022-05-16, 559.5, 2021-12-06, 401.35, 17.08, 2.91, 38.38, -28.27
500408, TATA ELXSI  , 9034.75, 2022-03-28, 5435.2, 2021-12-20, 5703.05, 2021-12-06, 8197.2, 92.88, 50.82, 9.27, 43.73
532163, SAREGAMA (I), 5351.4, 2022-01-03, 362.55, 2022-05-12, 4382.55, 2021-12-06, 417.0, 52.63, 15.02, 92.21, -90.48
523648, PLASTIBLEND , 254.95, 2022-01-21, 182.95, 2022-05-12, 235.8, 2021-12-06, 192.95, 13.67, 5.47, 24.32, -18.17
540704, MATRIMONY   , 978.4, 2021-11-18, 666.65, 2022-05-12, 913.95, 2021-12-06, 770.65, 32.95, 15.6, 21.23, -15.68
500770, TATA CHEM.  , 1046.0, 2022-05-05, 785.4, 2022-02-24, 896.4, 2021-12-06, 972.0, 19.77, 23.76, 7.07, 8.43
519183, ADF FOODS LT, 911.2, 2021-12-07, 679.1, 2022-03-29, 829.65, 2021-12-06, 713.3, 29.09, 5.04, 21.72, -14.02
500010, HDFC        , 2924.85, 2021-11-18, 2120.65, 2022-03-07, 2767.65, 2021-12-06, 2191.0, 17.72, 3.32, 25.09, -20.84
532513, TVSELE      , 275.45, 2022-04-06, 160.25, 2021-11-29, 170.0, 2021-12-06, 217.9, 24.77, 35.98, 20.89, 28.18
500696, HIND UNI LT , 2416.5, 2022-01-07, 1943.2, 2022-03-07, 2307.6, 2021-12-06, 2245.2, 59.45, 15.54, 7.09, -2.7
543300, SONACOMS    , 823.65, 2021-12-13, 554.35, 2022-05-16, 751.9, 2021-12-06, 587.3, 94.57, 5.94, 28.7, -21.89
542651, KPITTECH    , 745.6, 2022-01-10, 430.45, 2021-11-22, 488.25, 2021-12-06, 503.9, 50.14, 17.06, 32.42, 3.21
506076, GRIND NORTON, 1959.7, 2022-04-11, 1538.15, 2022-02-24, 1630.7, 2021-12-06, 1753.95, 65.69, 14.03, 10.5, 7.56
543384, NYKAA       , 2492.5, 2021-12-01, 1271.95, 2022-05-11, 2191.3, 2021-12-06, 1473.0, 0.0, 15.81, 40.9, -32.78
540699, DIXON       , 5709.8, 2021-12-13, 3340.15, 2022-05-16, 5110.95, 2021-12-06, 3490.15, 123.18, 4.49, 38.87, -31.71
540611, AUBANK      , 1437.05, 2022-04-21, 986.25, 2021-12-28, 1120.0, 2021-12-06, 1318.65, 36.95, 33.7, 8.24, 17.74
541988, AAVAS       , 3195.65, 2022-02-02, 2069.9, 2022-05-13, 2644.55, 2021-12-06, 2185.5, 48.77, 5.58, 31.61, -17.36
542752, AFFLE       , 1485.95, 2022-01-17, 967.15, 2022-05-16, 1066.75, 2021-12-06, 1108.35, 70.96, 14.6, 25.41, 3.9
543367, PARAS       , 774.75, 2021-11-26, 565.75, 2022-02-24, 730.6, 2021-12-06, 618.3, 0.0, 9.29, 20.19, -15.37
541269, CHEMFABALKA , 251.3, 2022-04-01, 137.05, 2021-12-20, 148.9, 2021-12-06, 180.05, 62.75, 31.38, 28.35, 20.92
519136, NAHAR INDUST, 225.5, 2022-04-18, 108.6, 2021-11-30, 112.4, 2021-12-06, 155.0, 3.9, 42.73, 31.26, 37.9
532375, TIPSINDUSTR , 2532.35, 2022-01-18, 1305.05, 2021-11-29, 1411.6, 2021-12-06, 1720.75, 32.17, 31.85, 32.05, 21.9
522205, PRAJ IND.LTD, 438.45, 2022-02-03, 303.7, 2021-12-22, 321.3, 2021-12-06, 347.75, 44.26, 14.5, 20.69, 8.23
500875, ITC LTD.    , 270.45, 2022-04-18, 208.3, 2022-02-24, 217.9, 2021-12-06, 264.6, 22.02, 27.03, 2.16, 21.43
530073, SANGHVI MOVE, 254.05, 2022-01-07, 171.0, 2022-05-12, 210.05, 2021-12-06, 178.55, 41.49, 4.42, 29.72, -15.0
534076, RHIM        , 661.85, 2022-04-18, 332.65, 2021-11-29, 335.7, 2021-12-06, 570.15, 0.0, 71.4, 13.86, 69.84
502219, BORORENEW   , 780.15, 2022-04-22, 509.85, 2021-11-22, 566.1, 2021-12-06, 643.1, 50.48, 26.14, 17.57, 13.6
533339, ZEN TECH    , 245.45, 2021-12-14, 151.0, 2022-05-13, 204.8, 2021-12-06, 166.3, 665.2, 10.13, 32.25, -18.8
532842, SREE RAYALA , 506.15, 2022-03-16, 307.25, 2021-11-22, 313.5, 2021-12-06, 424.3, 9.22, 38.1, 16.17, 35.34
523301, TCPL PACK   , 929.95, 2022-04-18, 490.0, 2021-11-29, 492.5, 2021-12-06, 755.6, 16.08, 54.2, 18.75, 53.42
500243, KIRL INDUS  , 1662.4, 2022-01-14, 1303.45, 2022-05-13, 1492.6, 2021-12-06, 1395.4, 5.33, 7.05, 16.06, -6.51
505693, LATIMMETAL  , 218.3, 2022-04-11, 72.55, 2021-11-22, 83.6, 2021-12-06, 189.7, 9.34, 161.47, 13.1, 126.91
538902, DHUN TEAIND , 343.2, 2022-01-11, 222.85, 2022-02-24, 243.65, 2021-12-06, 257.55, 9.09, 15.57, 24.96, 5.7
543333, CARTRADE    , 1050.4, 2021-11-18, 478.55, 2022-02-24, 891.8, 2021-12-06, 582.4, 0.0, 21.7, 44.55, -34.69
542684, PPL         , 198.85, 2022-04-27, 125.3, 2021-12-20, 143.9, 2021-12-06, 183.0, 9.69, 46.05, 7.97, 27.17
540403, CLEDUCATE   , 162.35, 2022-04-25, 98.7, 2021-12-21, 119.6, 2021-12-06, 122.55, 0.0, 24.16, 24.51, 2.47
542665, NEOGEN      , 1907.15, 2022-01-04, 1292.8, 2021-11-22, 1655.1, 2021-12-06, 1450.0, 88.47, 12.16, 23.97, -12.39
532343, TVS MOTOR L , 723.55, 2021-11-18, 529.35, 2022-03-07, 661.75, 2021-12-06, 677.5, 42.53, 27.99, 6.36, 2.38
500469, FEDERAL BANK, 104.4, 2022-02-10, 80.5, 2021-12-21, 87.8, 2021-12-06, 86.7, 9.18, 7.7, 16.95, -1.25
532144, WELCORP     , 216.15, 2022-04-21, 137.7, 2022-02-24, 165.7, 2021-12-06, 191.6, 10.8, 39.14, 11.36, 15.63
508906, EVEREST INDS, 771.9, 2022-03-23, 370.2, 2021-11-29, 403.85, 2021-12-06, 574.7, 17.87, 55.24, 25.55, 42.31
